"Sexe";"Nom";"Age";"Occupation";"Residence";"Apparence";"Personnalite";"Histoire";"GenreRoman";"Themes";"Caracteristiques";"trAge"
"H";"Benjamin Walker";"45";"Avocat";"Londres";"Cheveux gris courts, yeux bleus, visage carré, style professionnel";"Intelligent, ambitieux, charismatique, manipulateur, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa fille, a gagné plusieurs procès importants";"Thriller juridique";"Ambition, manipulation, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage charismatique et manipulateur, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Olivia Davis";"36";"Médecin";"Paris";"Cheveux châtains courts, yeux verts, visage ovale, style professionnel";"Intelligente, compétente, compatissante, perfectionniste, a du mal à déléguer";"a une relation compliquée avec son mari, a sauvé plusieurs vies";"Drame médical";"Compétence, compassion, relations conjugales, perfectionnisme";"Personnage compétent et compatissant, lutte pour déléguer";"2. Entre 30 et 40 ans"
"H";"Ethan Green";"25";"Musicien";"Berlin";"Cheveux blonds longs, yeux bleus, visage fin, style rock";"Talentueux, passionné, créatif, rebelle, a du mal à gérer son succès";"a une relation compliquée avec son frère, a joué dans plusieurs groupes de rock";"Roman musical";"Talent, passion, relations fraternelles, célébrité";"Personnage rebelle et talentueux, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Mia Turner";"31";"Journaliste";"Sydney";"Cheveux bruns longs, yeux noisette, visage ovale, style décontracté";"Intelligente, curieuse, déterminée, indépendante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son rédacteur en chef, a écrit plusieurs articles primés";"Drame journalistique";"Curiosité, détermination, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"William King";"40";"Ecrivain";"Dublin";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, créatif, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son éditeur, a écrit plusieurs best-sellers";"Roman littéraire";"Créativité, indépendance, relations éditeur-auteur, engagement";"Personnage intelligent et créatif, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Sophia Lee";"29";"Chef cuisinier";"Tokyo";"Cheveux noirs courts, yeux marron, visage rond, style professionnel";"Passionnée, créative, perfectionniste, exigeante, a du mal à déléguer";"a une relation compliquée avec sa mère, a ouvert son propre restaurant";"Roman culinaire";"Passion, créativité, relations mère-fille, perfectionnisme";"Personnage créatif et perfectionniste, lutte pour déléguer";"1. Moins de 30 ans"
"H";"Noah Clark";"34";"Informaticien";"San Francisco";"Cheveux bruns courts, yeux verts, visage fin, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son associé, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations professionnelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"2. Entre 30 et 40 ans"
"F";"Emily White";"27";"Danseuse";"Moscou";"Cheveux blonds longs, yeux bleus, visage fin, style sportif";"Passionnée, déterminée, disciplinée, indépendante, a du mal à accepter l'échec";"a une relation compliquée avec son père, a dansé dans plusieurs compagnies de ballet prestigieuses";"Roman de danse";"Passion, discipline, relations père-fille, échec";"Personnage déterminé et discipliné, lutte pour accepter l'échec";"1. Moins de 30 ans"
"H";"Liam Brown";"39";"Architecte";"Barcelone";"Cheveux châtains courts, yeux marron, visage carré, style professionnel";"Intelligent, créatif, perfectionniste, exigeant, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a conçu plusieurs bâtiments emblématiques";"Drame architectural";"Créativité, perfectionnisme, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage créatif et perfectionniste, lutte pour trouver un équilibre entre sa vie professionnelle et personnelle";"2. Entre 30 et 40 ans"
"F";"Charlotte Wilson";"24";"Mannequin";"Milan";"Cheveux blonds longs, yeux verts, visage ovale, style élégant";"Belle, ambitieuse, indépendante, superficielle, a du mal à accepter le vieillissement";"a une relation compliquée avec son agent, a défilé pour plusieurs grandes marques";"Drame de la mode";"Beauté, ambition, relations professionnelles, vieillissement";"Personnage ambitieux et superficiel, lutte pour accepter le vieillissement";"1. Moins de 30 ans"
"H";"Jackson Reed";"41";"Médecin";"Chicago";"Cheveux gris courts, yeux marron, visage ovale, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Ava Rodriguez";"35";"Avocat";"Miami";"Cheveux bruns longs, yeux noisette, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son mari, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Samuel Miller";"26";"Acteur";"Londres";"Cheveux bruns courts, yeux bleus, visage carré, style décontracté";"Talentueux, passionné, créatif, insouciant, a du mal à gérer son succès";"a une relation compliquée avec son agent, a joué dans plusieurs films à succès";"Drame hollywoodien";"Talent, passion, relations professionnelles, célébrité";"Personnage talentueux et passionné, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Grace Hernandez";"30";"Artiste";"New York";"Cheveux noirs courts, yeux marron, visage fin, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"2. Entre 30 et 40 ans"
"H";"Ryan Taylor";"38";"Entrepreneur";"Singapour";"Cheveux noirs courts, yeux marron, visage ovale, style professionnel";"Intelligent, ambitieux, déterminé, charismatique, a du mal à déléguer";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, détermination, relations professionnelles, délégation";"Personnage déterminé et charismatique, lutte pour déléguer";"2. Entre 30 et 40 ans"
"F";"Sara Johnson";"29";"Enseignante";"Vancouver";"Cheveux blonds longs, yeux bleus, visage ovale, style décontracté";"Intelligente, patiente, dévouée, compatissante, a du mal à s'imposer";"a une relation compliquée avec son directeur d'école, a aidé plusieurs élèves à réussir";"Drame scolaire";"Patience, dévouement, relations professionnelles, autorité";"Personnage dévoué et compatissant, lutte pour s'imposer";"1. Moins de 30 ans"
"H";"Nathan Carter";"42";"Policier";"Washington D.C.";"Cheveux bruns courts, yeux marron, visage carré, style professionnel";"Intelligent, courageux, déterminé, loyal, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a résolu plusieurs affaires importantes";"Thriller policier";"Courage, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage courageux et déterminé, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Emma Thompson";"33";"Psychologue";"Boston";"Cheveux châtains longs, yeux verts, visage ovale, style professionnel";"Intelligente, compatissante, patiente, analytique, a du mal à concilier travail et vie privée";"a une relation compliquée avec son père, a aidé plusieurs patients à surmonter leurs traumatismes";"Drame psychologique";"Compassion, patience, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage compatissant et analytique, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Oliver Davis";"28";"Ingénieur";"Seattle";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, créatif, pragmatique, indépendant, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a conçu plusieurs projets innovants";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et pragmatique, lutte pour communiquer avec les autres";"1. Moins de 30 ans"
"F";"Sophia White";"37";"Editrice";"New York";"Cheveux blonds longs, yeux bleus, visage ovale, style professionnel";"Intelligente, créative, exigeante, indépendante, a du mal à déléguer";"a une relation compliquée avec son auteur vedette, a publié plusieurs best-sellers";"Roman littéraire";"Créativité, exigence, relations éditeur-auteur, délégation";"Personnage créatif et exigeant, lutte pour déléguer";"2. Entre 30 et 40 ans"
"H";"James Lee";"46";"Scientifique";"San Francisco";"Cheveux gris courts, yeux marron, visage ovale, style professionnel";"Intelligent, curieux, déterminé, indépendant, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa fille, a fait plusieurs découvertes importantes";"Thriller scientifique";"Curiosité, détermination, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Mia Garcia";"25";"Photographe";"Los Angeles";"Cheveux bruns longs, yeux noisette, visage ovale, style bohème";"Créative, passionnée, indépendante, têtue, a du mal à accepter les critiques";"a une relation compliquée avec son petit ami, a photographié plusieurs célébrités";"Drame artistique";"Passion, indépendance, relations amoureuses, critique";"Personnage passionné et indépendant, lutte pour accepter les critiques";"1. Moins de 30 ans"
"H";"William Harris";"30";"Entrepreneur";"Londres";"Cheveux blonds courts, yeux bleus, visage carré, style professionnel";"Intelligent, ambitieux, déterminé, charismatique, a du mal à déléguer";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, détermination, relations professionnelles, délégation";"Personnage déterminé et charismatique, lutte pour déléguer";"2. Entre 30 et 40 ans"
"F";"Olivia Wilson";"34";"Productrice";"Paris";"Cheveux châtains courts, yeux verts, visage ovale, style professionnel";"Intelligente, créative, exigeante, indépendante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son réalisateur vedette, a produit plusieurs films à succès";"Drame hollywoodien";"Créativité, exigence, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage créatif et exigeant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Ethan Smith";"26";"Journaliste";"Berlin";"Cheveux bruns courts, yeux marron, visage fin, style décontracté";"Intelligent, curieux, déterminé, indépendant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son rédacteur en chef, a écrit plusieurs articles primés";"Drame journalistique";"Curiosité, détermination, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"1. Moins de 30 ans"
"F";"Mia Turner";"31";"Avocat";"Sydney";"Cheveux bruns longs, yeux noisette, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son mari, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"William King";"40";"Ecrivain";"Dublin";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, créatif, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son éditeur, a écrit plusieurs best-sellers";"Roman littéraire";"Créativité, indépendance, relations éditeur-auteur, engagement";"Personnage intelligent et créatif, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Sophia Lee";"29";"Chef cuisinier";"Tokyo";"Cheveux noirs courts, yeux marron, visage rond, style professionnel";"Passionnée, créative, perfectionniste, exigeante, a du mal à déléguer";"a une relation compliquée avec sa mère, a ouvert son propre restaurant";"Roman culinaire";"Passion, créativité, relations mère-fille, perfectionnisme";"Personnage créatif et perfectionniste, lutte pour déléguer";"1. Moins de 30 ans"
"H";"Noah Clark";"34";"Informaticien";"San Francisco";"Cheveux bruns courts, yeux verts, visage fin, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son associé, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations professionnelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"2. Entre 30 et 40 ans"
"F";"Emily White";"27";"Danseuse";"Moscou";"Cheveux blonds longs, yeux bleus, visage fin, style sportif";"Passionnée, déterminée, disciplinée, indépendante, a du mal à accepter l'échec";"a une relation compliquée avec son père, a dansé dans plusieurs compagnies de ballet prestigieuses";"Roman de danse";"Passion, discipline, relations père-fille, échec";"Personnage déterminé et discipliné, lutte pour accepter l'échec";"1. Moins de 30 ans"
"H";"Liam Brown";"39";"Architecte";"Barcelone";"Cheveux châtains courts, yeux marron, visage carré, style professionnel";"Intelligent, créatif, perfectionniste, exigeant, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a conçu plusieurs bâtiments emblématiques";"Drame architectural";"Créativité, perfectionnisme, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage créatif et perfectionniste, lutte pour trouver un équilibre entre sa vie professionnelle et personnelle";"2. Entre 30 et 40 ans"
"F";"Charlotte Wilson";"24";"Mannequin";"Milan";"Cheveux blonds longs, yeux verts, visage ovale, style élégant";"Belle, ambitieuse, indépendante, superficielle, a du mal à accepter le vieillissement";"a une relation compliquée avec son agent, a défilé pour plusieurs grandes marques";"Drame de la mode";"Beauté, ambition, relations professionnelles, vieillissement";"Personnage ambitieux et superficiel, lutte pour accepter le vieillissement";"1. Moins de 30 ans"
"H";"Jackson Reed";"41";"Médecin";"Chicago";"Cheveux gris courts, yeux marron, visage ovale, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Ava Rodriguez";"35";"Avocat";"Miami";"Cheveux bruns longs, yeux noisette, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son mari, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Samuel Miller";"26";"Acteur";"Londres";"Cheveux bruns courts, yeux bleus, visage carré, style décontracté";"Talentueux, passionné, créatif, insouciant, a du mal à gérer son succès";"a une relation compliquée avec son agent, a joué dans plusieurs films à succès";"Drame hollywoodien";"Talent, passion, relations professionnelles, célébrité";"Personnage talentueux et passionné, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Grace Hernandez";"30";"Artiste";"New York";"Cheveux noirs courts, yeux marron, visage fin, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"2. Entre 30 et 40 ans"
"H";"Ryan Taylor";"38";"Entrepreneur";"Singapour";"Cheveux noirs courts, yeux marron, visage ovale, style professionnel";"Intelligent, ambitieux, déterminé, charismatique, a du mal à déléguer";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, détermination, relations professionnelles, délégation";"Personnage déterminé et charismatique, lutte pour déléguer";"2. Entre 30 et 40 ans"
"H";"Lucas Thompson";"32";"Détective privé";"New York";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, perspicace, tenace, solitaire, a du mal à faire confiance aux autres";"a résolu plusieurs affaires de meurtre, a une relation compliquée avec sa famille";"Polar";"Enquête, relations familiales, confiance en soi";"Personnage solitaire et tenace, lutte pour trouver un équilibre entre son travail et sa vie personnelle";"2. Entre 30 et 40 ans"
"F";"Isabella Martinez";"28";"Designer graphique";"Los Angeles";"Cheveux noirs longs, yeux marron, visage ovale, style bohème";"Créative, passionnée, indépendante, têtue, a du mal à accepter les critiques";"a travaillé pour plusieurs grandes marques, a une relation compliquée avec son petit ami";"Roman d'apprentissage";"Passion, indépendance, relations amoureuses, critique";"Personnage passionné et indépendant, lutte pour accepter les critiques";"1. Moins de 30 ans"
"H";"Benjamin Walker";"45";"Avocat";"Londres";"Cheveux gris courts, yeux bleus, visage carré, style professionnel";"Intelligent, ambitieux, charismatique, manipulateur, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa fille, a gagné plusieurs procès importants";"Thriller juridique";"Ambition, manipulation, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage charismatique et manipulateur, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Olivia Davis";"36";"Médecin";"Paris";"Cheveux châtains courts, yeux verts, visage ovale, style professionnel";"Intelligente, compétente, compatissante, perfectionniste, a du mal à déléguer";"a une relation compliquée avec son mari, a sauvé plusieurs vies";"Drame médical";"Compétence, compassion, relations conjugales, perfectionnisme";"Personnage compétent et compatissant, lutte pour déléguer";"2. Entre 30 et 40 ans"
"H";"Ethan Green";"25";"Musicien";"Berlin";"Cheveux blonds longs, yeux bleus, visage fin, style rock";"Talentueux, passionné, créatif, rebelle, a du mal à gérer son succès";"a une relation compliquée avec son frère, a joué dans plusieurs groupes de rock";"Roman musical";"Talent, passion, relations fraternelles, célébrité";"Personnage rebelle et talentueux, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Mia Turner";"31";"Journaliste";"Sydney";"Cheveux bruns longs, yeux noisette, visage ovale, style décontracté";"Intelligente, curieuse, déterminée, indépendante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son rédacteur en chef, a écrit plusieurs articles primés";"Drame journalistique";"Curiosité, détermination, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"William King";"40";"Ecrivain";"Dublin";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, créatif, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son éditeur, a écrit plusieurs best-sellers";"Roman littéraire";"Créativité, indépendance, relations éditeur-auteur, engagement";"Personnage intelligent et créatif, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Sophia Lee";"29";"Chef cuisinier";"Tokyo";"Cheveux noirs courts, yeux marron, visage rond, style professionnel";"Passionnée, créative, perfectionniste, exigeante, a du mal à déléguer";"a une relation compliquée avec sa mère, a ouvert son propre restaurant";"Roman culinaire";"Passion, créativité, relations mère-fille, perfectionnisme";"Personnage créatif et perfectionniste, lutte pour déléguer";"1. Moins de 30 ans"
"H";"Noah Clark";"34";"Informaticien";"San Francisco";"Cheveux bruns courts, yeux verts, visage fin, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son associé, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations professionnelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"2. Entre 30 et 40 ans"
